town_name,DIST_NAME,score,,,,,,
Woburn,Woburn,100,,,,,,
Worcester,Worcester,100,,,,,,
Seabrook,Holbrook,0,,,,,,
Mashpee Neck,Mashpee,100,,,,,,
Hanson,Canton,0,,,,,,
South Lancaster,South Hadley,0,,,,,,
Beverly,Beverly,100,,,,,,
North Scituate,Scituate,100,,,,,,
Salisbury,Amesbury,0,,,,,,
Dover,Andover,0,,,,,,
Northfield,Marshfield,0,,,,,,
Pinehurst,Winchester,0,,,,,,
Cochituate,Wayland,100,,,,,,
East Falmouth,Falmouth,100,,,,,,
Teaticket,Natick,0,,,,,,
East Harwich,Ipswich,0,,,,,,
Harwich Center,Sandwich,0,,,,,,
Harwich Port,Rockport,0,,,,,,
Northwest Harwich,North Andover,0,,,,,,
North Eastham,North Adams,0,,,,,,
North Plymouth,Plymouth,100,,,,,,
Huntington,Burlington,0,,,,,,
Somerset,Melrose,0,,,,,,
Ocean Grove,Rockland,0,,,,,,
Bliss Corner,Bourne,0,,,,,,
Whitinsville,Somerville,0,,,,,,
East Brookfield,North Brookfield,0,,,,,,
Smith Mills,Millis,0,,,,,,
West Yarmouth,Dennis-Yarmouth,100,,,,,,
Yarmouth Port,Dennis-Yarmouth,100,,,,,,
South Yarmouth,Dennis-Yarmouth,69,,,,,,
Hanscom AFB,Masconomet,0,,,,,,
Devens,Danvers,0,,,,,,
North Lakeville,Silver Lake,0,,,,,,
Townsend,Monson,0,,,,,,
Holland,Ashland,0,,,,,,
Williamstown,Holliston,0,,,,,,
Orleans,Douglas,0,,,,,,
Provincetown,Brockton,0,,,,,,
Lenox Dale,Lenox,100,,,,,,
West Concord,West Boylston,0,,,,,,
Rowley,Brookline,0,,,,,,
Boxford,Oxford,0,,,,,,
Topsfield,Pittsfield,0,,,,,,
Weweantic,Natick,0,,,,,,
Marion Center,Canton,0,,,,,,
Mattapoisett Center,Narragansett,0,,,,,,
East Dennis,Dennis-Yarmouth,100,,,,,,
South Dennis,Dennis-Yarmouth,100,,,,,,
East Sandwich,Sandwich,100,,,,,,
Buzzards Bay,Maynard,0,,,,,,
Monument Beach,Masconomet,0,,,,,,
Pocasset,Bourne,100,,,,,,
Dennis Port,Dennis-Yarmouth,100,,,,,,
West Dennis,Dennis-Yarmouth,100,,,,,,
Forestdale,Hopedale,0,,,,,,
Sagamore,Agawam,0,,,,,,
East Pepperell,Amherst-Pelham,0,,,,,,
Pepperell,Revere,0,,,,,,
Millers Falls,Fall River,0,,,,,,
Wilbraham,Hampden-Wilbraham,0,,,,,,
Cheshire,Hampshire,0,,,,,,
Housatonic,Holliston,0,,,,,,
North Pembroke,Pembroke,100,,,,,,
Onset,Nauset,0,,,,,,
West Wareham,Wareham,100,,,,,,
White Island Shores,Whitman-Hanson,0,,,,,,
Raynham Center,Bridgewater-Raynham,100,,,,,,
North Seekonk,Seekonk,100,,,,,,
North Westport,Westport,100,,,,,,
Sturbridge,Uxbridge,0,,,,,,
West Warren,West Bridgewater,0,,,,,,
Warren,Ware,80,,,,,,
Brookfield,North Brookfield,100,,,,,,
Fiskdale,Salem,0,,,,,,
Shirley,Hadley,0,,,,,,
The Pinehills,Pioneer Valley,0,,,,,,
Russell,Norwell,0,,,,,,
Marshfield Hills,Marshfield,100,,,,,,
