Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q4,Next9,15341732,16609814,4023947,646468,2925331,4646401,1627663,2740004,1268082,983005,162588,122488
2002:Q1,Next9,15600418,16894945,4117780,660335,2904666,4741672,1661919,2808573,1294527,1012858,164110,117559
2002:Q2,Next9,15661002,16951724,4232566,703997,2607160,4710295,1742620,2955086,1290722,1040460,151634,98628
2002:Q3,Next9,15372128,16650146,4325552,757485,2132384,4677868,1825896,2930961,1278018,1057827,137064,83127
2002:Q4,Next9,15701117,17010078,4396450,764240,2262300,4823559,1843236,2920294,1308961,1083806,145388,79767
2003:Q1,Next9,15869786,17186259,4501243,782314,2123271,4863867,1911409,3004155,1316473,1084577,144748,87148
2003:Q2,Next9,16491185,17925960,4587124,774284,2496051,5034246,1929936,3104319,1434775,1125562,158469,150744
2003:Q3,Next9,16770165,18270484,4667029,790016,2631769,5119361,1961026,3101283,1500319,1205452,162243,132625
2003:Q4,Next9,17508384,19008242,4848785,786185,2963968,5296218,1962315,3150771,1499858,1220536,174422,104900
2004:Q1,Next9,18333842,19871865,4973106,799205,3082284,5434281,1990767,3592221,1538023,1244828,177388,115807
2004:Q2,Next9,18517474,20157044,5111636,817767,3039673,5561490,2026658,3599820,1639570,1333488,180477,125605
2004:Q3,Next9,19009549,20669889,5411045,834250,3020146,5672821,2049923,3681704,1660341,1362947,180503,116891
2004:Q4,Next9,19799188,21591796,5593446,835861,3321438,5882920,2263431,3694703,1792608,1447301,189091,156216
2005:Q1,Next9,20392865,22180706,5810615,856776,3333008,5938962,2435457,3805888,1787842,1443968,186855,157019
2005:Q2,Next9,21058005,22906840,6122975,865684,3426280,6053558,2596133,3842209,1848835,1503013,188235,157587
2005:Q3,Next9,21669603,23603173,6381743,875375,3622053,6185232,2738850,3799919,1933570,1587788,191894,153888
2005:Q4,Next9,22139202,24153985,6586419,888134,3679860,6306637,2870815,3822120,2014783,1683884,193990,136909
2006:Q1,Next9,23121311,25246913,6756815,888198,4127630,6414442,2939928,4119901,2125603,1775420,197947,152236
2006:Q2,Next9,23247528,25456635,6852088,907969,4015048,6450565,3015283,4215681,2209107,1860666,196149,152293
2006:Q3,Next9,23486047,25785783,6920329,911176,4131574,6570378,3084348,4167978,2299736,1934709,201370,163657
2006:Q4,Next9,23918473,26305196,7018639,905959,4441620,6721035,3132038,4085906,2386723,1984063,207871,194789
2007:Q1,Next9,24592252,27047581,7067492,910906,4628789,6797609,3169478,4473308,2455330,2062443,207054,185833
2007:Q2,Next9,24875921,27433534,7069131,902958,4801098,6943508,3173773,4543066,2557613,2116219,213458,227937
2007:Q3,Next9,25090012,27674204,6979192,907260,4807607,7027100,3185424,4767623,2584192,2162347,215397,206448
2007:Q4,Next9,24856692,27476044,6976326,920386,4595648,7059431,3118704,4805549,2619352,2182127,211764,225460
2008:Q1,Next9,24609616,27279723,6883621,954301,4247357,6986361,2965220,5242862,2670107,2216069,200218,253820
2008:Q2,Next9,24313402,27011202,6665567,970586,4129210,7022846,2837695,5385298,2697801,2305123,196318,196360
2008:Q3,Next9,23785204,26499203,6442823,995520,3642307,6971250,2787577,5659726,2713999,2246504,187459,280037
2008:Q4,Next9,22773106,25240409,6374548,1046304,2894405,6814873,2649832,5460447,2467303,2194219,166091,106994
2009:Q1,Next9,23073697,25459871,6384307,1068756,2585987,6791984,2552349,6076487,2386174,2148998,158346,78830
2009:Q2,Next9,23100031,25549117,6197397,1050044,3131322,6942658,2398353,5829341,2449086,2194712,167342,87032
2009:Q3,Next9,23811176,26266272,6018530,1029520,3658191,7128937,2290104,6140991,2455096,2171394,178266,105436
2009:Q4,Next9,23212348,25687812,5990435,1020604,3769341,7236582,2258785,5412065,2475465,2168049,182177,125239
2010:Q1,Next9,24069025,26539373,5930147,1015560,3931571,7412524,2252939,5996633,2470348,2158167,184784,127398
2010:Q2,Next9,23901061,26394984,5890539,1048438,3611930,7420200,2357972,6065905,2493923,2178713,173796,141413
2010:Q3,Next9,24537688,27040776,5929382,1036047,4036855,7668444,2406525,5963522,2503087,2173099,181806,148183
2010:Q4,Next9,24643092,27147198,5886459,1012704,4401435,7911696,2416773,5518130,2504106,2130234,191042,182830
2011:Q1,Next9,25275217,27838325,5711995,1004067,4677733,8052887,2434911,5956733,2563108,2159520,194758,208830
2011:Q2,Next9,25405350,27944465,5633379,1007002,4690474,8125475,2483308,6004828,2539115,2140651,194052,204413
2011:Q3,Next9,25088428,27584901,5632918,1056039,4021896,8002985,2568529,6302534,2496474,2157615,178260,160599
2011:Q4,Next9,25165427,27646174,5648453,1036647,4297389,8189260,2626087,5848337,2480747,2140271,188101,152375
2012:Q1,Next9,26123359,28653550,5601098,1010650,4804214,8438700,2670986,6127901,2530191,2159272,198900,172020
2012:Q2,Next9,26282629,28792117,5581206,1030205,4650862,8456545,2755612,6317687,2509489,2159861,194601,155027
2012:Q3,Next9,26744830,29244927,5657133,1024807,4918864,8620493,2854828,6168801,2500097,2125098,201033,173966
2012:Q4,Next9,26982718,29555805,5707279,1036796,4964605,8698352,2946722,6202051,2573087,2176504,198247,198337
2013:Q1,Next9,28004715,30458509,5781173,1015100,5474151,9028922,3009126,6150037,2453795,2038265,211404,204126
2013:Q2,Next9,28604371,31061952,5888138,1017162,5514151,9233224,3127362,6281915,2457582,2038743,214239,204601
2013:Q3,Next9,29081295,31578888,5976653,1014854,5786184,9522983,3250341,6027873,2497593,2064801,220094,212698
2013:Q4,Next9,29558721,32069642,6076770,991000,6153421,9882577,3247046,5718829,2510921,2043916,235454,231550
2014:Q1,Next9,30314655,32801932,6190308,990177,6370067,9992718,3213478,6045183,2487276,2034508,238086,214682
2014:Q2,Next9,30815436,33360537,6352415,980599,6686081,10156477,3195583,5989383,2545101,2044646,246680,253776
2014:Q3,Next9,31172312,33732486,6497451,982671,6549139,10210511,3232408,6260305,2560174,2049683,248968,261523
2014:Q4,Next9,31466257,34012791,6601393,969061,6749771,10353087,3264941,6074538,2546533,2042845,257569,246120
2015:Q1,Next9,32256088,34764821,6715076,970634,6928598,10454167,3306531,6389815,2508734,2014277,259089,235368
2015:Q2,Next9,32554419,35078723,6883023,975162,6897013,10511757,3328781,6482989,2524305,2020351,260686,243267
2015:Q3,Next9,32346291,34831668,7004102,1010620,6335765,10399473,3380580,6701128,2485377,2045110,251003,189264
2015:Q4,Next9,32364603,34887738,7090313,994486,6558715,10565853,3372349,6306022,2523135,2071998,261465,189672
2016:Q1,Next9,32999872,35484292,7202011,994282,6574190,10660025,3358622,6695162,2484420,2049927,263528,170965
2016:Q2,Next9,33759944,36238216,7423825,985991,6747464,10777774,3388336,6914826,2478272,2033649,268551,176072
2016:Q3,Next9,34367098,36900695,7563577,984766,7022527,10940349,3447313,6942162,2533597,2069912,275524,188161
2016:Q4,Next9,34254200,36811995,7624012,981314,7189985,11021629,3456297,6538758,2557795,2101397,281824,174574
2017:Q1,Next9,35025215,37628634,7707282,965622,7479558,11221739,3461355,6793078,2603419,2135286,290443,177690
2017:Q2,Next9,35580560,38232299,7902030,962243,7707134,11365015,3535265,6760612,2651739,2165383,295951,190404
2017:Q3,Next9,36176461,38875935,8039935,953877,8004523,11536849,3582803,6757949,2699474,2208624,303428,187422
2017:Q4,Next9,36737388,39529868,8118065,936464,8403610,11744219,3640059,6687452,2792480,2258230,315735,218515
